"normalized_city"
...arraial do cabo
* cidade
"4º centenario"
"4o. centenario"
antunes (igaratinga)
bacaxa (saquarema) - distrito
california da barra (barra do pirai)
"campo alegre de lourdes, bahia, brasil"
florian&oacute;polis
itabatan (mucuri)
jacare (cabreuva)
lambari d%26apos%3boeste
maceia³
monte gordo (camacari) - distrito
penedo (itatiaia)
praia grande (fundao) - distrito
realeza (manhuacu)
"rio de janeiro, rio de janeiro, brasil"
santa barbara d`oeste
sao joao do pau d%26apos%3balho
sa£o paulo
tamoios (cabo frio)
´teresopolis
