raw_value,corrected_value
...arraial do cabo,arraial do cabo
* cidade,not specified
4º centenario,4 centenario
4o. centenario,4 centenario
florian&oacute;polis,florianopolis
lambari d%26apos%3boeste,lambari d'oeste
sao joao do pau d%26apos%3balho,sao joao do pau d'alho
maceia³,maceio
sa£o paulo,sao paulo
santa barbara d`oeste,santa barbara d'oeste
´teresopolis,teresopolis
"rio de janeiro, rio de janeiro, brasil",not specified
"campo alegre de lourdes, bahia, brasil",not specified
